Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE04156066050171,Sat Feb 01 10:10:40 CET 2020,-789.46,EUR,Molestiae est et ut porro temporibus quod.
Jos,BE69771770897312,BE47601401753498,Wed Feb 19 14:10:35 CET 2020,346.03,EUR,Ipsum nihil illo quia.
Jos,BE69771770897312,BE80197195657936,Mon Feb 17 19:11:18 CET 2020,765.0,EUR,Qui enim reprehenderit.
Jos,BE69771770897312,BE31334102618162,Sun Jan 26 13:50:53 CET 2020,-4245.62,EUR,Aspernatur beatae est qui voluptatem quae optio aut.
Jos,BE69771770897312,BE26994822755434,Thu Feb 06 15:56:25 CET 2020,-1495.31,EUR,Rem et autem perferendis iusto natus aliquid.
Jos,BE69771770897312,BE07749413592401,Wed Feb 12 19:06:42 CET 2020,-4356.63,EUR,Tempore possimus et vero ut animi.
Jos,BE69771770897312,BE64875913599005,Sun Feb 16 12:46:48 CET 2020,4962.93,EUR,Beatae dicta eos ducimus et illum.
Jos,BE69771770897312,BE19999548657252,Mon Feb 10 04:32:04 CET 2020,-4593.27,EUR,Fuga sint magni in.
Jos,BE69771770897312,BE82778278825152,Wed Feb 12 16:22:23 CET 2020,2872.05,EUR,Accusamus aspernatur libero fugit.
Jos,BE69771770897312,BE90124733615545,Mon Feb 17 16:46:26 CET 2020,-3696.45,EUR,Quos quidem qui ex.
Jos,BE69771770897312,BE19575585591226,Sat Feb 15 04:18:24 CET 2020,-3459.58,EUR,Animi dolorem non.
Jos,BE69771770897312,BE96063033200105,Wed Feb 12 22:48:00 CET 2020,-1282.6,EUR,Similique facilis illo sed iste ea suscipit sint.
Jos,BE69771770897312,BE40341518321350,Sat Feb 15 21:50:42 CET 2020,2704.0,EUR,Animi assumenda optio consequuntur illum facere non.
Jos,BE69771770897312,BE43897313015666,Tue Feb 18 12:34:24 CET 2020,-4313.65,EUR,Non vero rerum illo laborum reiciendis ab incidunt.
Jos,BE69771770897312,BE27095531906553,Mon Feb 03 15:57:09 CET 2020,-1450.65,EUR,Harum est eaque quod odio suscipit.
Jos,BE69771770897312,BE65934620693453,Wed Feb 12 02:23:52 CET 2020,-3001.87,EUR,Et sunt sed nihil quae sit commodi eum.
Jos,BE69771770897312,BE87634833755900,Fri Feb 14 01:55:45 CET 2020,176.9,EUR,Voluptas cumque consequatur possimus repudiandae.
Jos,BE69771770897312,BE58457192589724,Sat Feb 15 21:05:08 CET 2020,3787.72,EUR,Maiores repellendus sed porro incidunt quo cum accusantium.
Jos,BE69771770897312,BE85051756747379,Fri Feb 14 12:36:06 CET 2020,4030.26,EUR,Aspernatur sed facere minus.
Jos,BE69771770897312,BE27553229901269,Thu Feb 13 03:25:32 CET 2020,455.74,EUR,Ab non officia culpa assumenda culpa et.
Jos,BE69771770897312,BE70549893301479,Mon Feb 10 02:42:21 CET 2020,4510.63,EUR,Exercitationem modi sint dolorum quia.
Jos,BE69771770897312,BE58772815437839,Wed Feb 19 02:34:19 CET 2020,3441.97,EUR,Eos quas sint omnis autem ut voluptas.
Jos,BE69771770897312,BE68513509096506,Tue Feb 11 01:25:22 CET 2020,-2428.54,EUR,Nesciunt repellendus temporibus ut deserunt provident architecto eveniet.
